CycPeptMPDB_ID,Source,Missing_in_Water,Missing_in_Hexane
2295,2018_Naylor,True,True
2296,2018_Naylor,True,True
2297,2018_Naylor,True,True
2298,2018_Naylor,True,True
2299,2018_Naylor,True,True
2300,2018_Naylor,True,True
2301,2018_Naylor,True,True
2302,2018_Naylor,True,True
2320,2018_Naylor,True,True
2352,2018_Naylor,True,True
2353,2018_Naylor,True,True
2354,2018_Naylor,True,True
2355,2018_Naylor,True,True
2356,2018_Naylor,True,True
2357,2018_Naylor,True,True
2358,2018_Naylor,True,True
2359,2018_Naylor,True,True
2360,2018_Naylor,True,True
2367,2018_Naylor,True,True
2368,2018_Naylor,True,True
2369,2018_Naylor,True,True
2370,2018_Naylor,True,True
2371,2018_Naylor,True,True
2372,2018_Naylor,True,True
2373,2018_Naylor,True,True
2374,2018_Naylor,True,True
2375,2018_Naylor,True,True
2514,2020_Townsend,True,True
2524,2020_Townsend,True,True
2526,2020_Townsend,True,True
2527,2020_Townsend,True,True
2539,2020_Townsend,True,True
2540,2020_Townsend,True,True
2614,2020_Townsend,True,True
2615,2020_Townsend,True,True
2616,2020_Townsend,True,True
2617,2020_Townsend,True,True
2618,2020_Townsend,True,True
2619,2020_Townsend,True,True
2620,2020_Townsend,True,True
2621,2020_Townsend,True,True
2622,2020_Townsend,True,True
2623,2020_Townsend,True,True
2625,2020_Townsend,True,True
2639,2020_Townsend,True,True
2645,2020_Townsend,True,True
2655,2020_Townsend,True,True
2660,2020_Townsend,True,True
2994,2020_Townsend,True,True
3584,2020_Townsend,True,True
3591,2020_Townsend,True,True
3598,2020_Townsend,True,True
3601,2020_Townsend,True,True
3605,2020_Townsend,True,True
3606,2020_Townsend,True,True
3614,2020_Townsend,True,True
3624,2020_Townsend,True,True
3626,2020_Townsend,True,True
3631,2020_Townsend,True,True
3633,2020_Townsend,True,True
3634,2020_Townsend,True,True
3638,2020_Townsend,True,True
3639,2020_Townsend,True,True
3641,2020_Townsend,True,True
3662,2020_Townsend,True,True
3677,2020_Townsend,True,True
3728,2020_Townsend,True,True
3729,2020_Townsend,True,True
3731,2020_Townsend,True,True
3809,2020_Townsend,True,True
3815,2020_Townsend,True,True
3821,2020_Townsend,True,True
3824,2020_Townsend,True,True
3837,2020_Townsend,True,True
3840,2020_Townsend,True,True
3852,2020_Townsend,True,True
3868,2020_Townsend,True,True
3872,2020_Townsend,True,True
3896,2020_Townsend,True,True
3899,2020_Townsend,True,True
3905,2020_Townsend,True,True
3920,2020_Townsend,True,True
3929,2020_Townsend,True,True
3936,2020_Townsend,True,True
3946,2020_Townsend,True,True
3958,2020_Townsend,True,True
3975,2020_Townsend,True,True
3991,2020_Townsend,True,True
4101,2020_Townsend,True,True
4115,2020_Townsend,True,True
4121,2020_Townsend,True,True
4127,2020_Townsend,True,True
4128,2020_Townsend,True,True
4139,2020_Townsend,True,True
4225,2020_Townsend,True,True
4248,2020_Townsend,True,True
4252,2020_Townsend,True,True
4261,2020_Townsend,True,True
4304,2020_Townsend,True,True
4323,2020_Townsend,True,True
4362,2020_Townsend,True,True
4510,2020_Townsend,True,True
4665,2020_Townsend,True,True
4694,2020_Townsend,True,True
4830,2020_Townsend,True,True
4835,2020_Townsend,True,True
4843,2020_Townsend,True,True
4855,2020_Townsend,True,True
4906,2020_Townsend,True,True
4909,2020_Townsend,True,True
4926,2020_Townsend,True,True
4929,2020_Townsend,True,True
4955,2020_Townsend,True,True
4963,2020_Townsend,True,True
5003,2020_Townsend,True,True
5008,2020_Townsend,True,True
5024,2020_Townsend,True,True
5028,2020_Townsend,True,True
5034,2020_Townsend,True,True
5039,2020_Townsend,True,True
5083,2020_Townsend,True,True
5090,2020_Townsend,True,True
5095,2020_Townsend,True,True
5097,2020_Townsend,True,True
5102,2020_Townsend,True,True
5103,2020_Townsend,True,True
5105,2020_Townsend,True,True
5117,2020_Townsend,True,True
5120,2020_Townsend,True,True
5121,2020_Townsend,True,True
5125,2020_Townsend,True,True
5138,2020_Townsend,True,True
5141,2020_Townsend,True,True
5143,2020_Townsend,True,True
5148,2020_Townsend,True,True
5150,2020_Townsend,True,True
5154,2020_Townsend,True,True
5157,2020_Townsend,True,True
5159,2020_Townsend,True,True
5160,2020_Townsend,True,True
5164,2020_Townsend,True,True
5165,2020_Townsend,True,True
5167,2020_Townsend,True,True
5173,2020_Townsend,True,True
5182,2020_Townsend,True,True
5190,2020_Townsend,True,True
5199,2020_Townsend,True,True
5202,2020_Townsend,True,True
5356,2020_Townsend,True,True
5368,2020_Townsend,True,True
5371,2020_Townsend,True,True
5394,2020_Townsend,True,True
5570,2020_Townsend,True,True
5669,2021_Kelly,True,True
6768,2021_Kelly,True,True
6982,2021_Kelly,True,True
7068,2021_Kelly,True,True
7069,2021_Kelly,True,True
7070,2021_Kelly,True,True
7071,2021_Kelly,True,True
7072,2021_Kelly,True,True
7073,2021_Kelly,True,True
7074,2021_Kelly,True,True
7075,2021_Kelly,True,True
7076,2021_Kelly,True,True
7077,2021_Kelly,True,True
7078,2021_Kelly,True,True
7079,2021_Kelly,True,True
7080,2021_Kelly,True,True
7081,2021_Kelly,True,True
7082,2021_Kelly,True,True
7083,2021_Kelly,True,True
7084,2021_Kelly,True,True
7085,2021_Kelly,True,True
7086,2021_Kelly,True,True
7087,2021_Kelly,True,True
7088,2021_Kelly,True,True
7089,2021_Kelly,True,True
7090,2021_Kelly,True,True
7091,2021_Kelly,True,True
7092,2021_Kelly,True,True
7093,2021_Kelly,True,True
7094,2021_Kelly,True,True
7095,2021_Kelly,True,True
7096,2021_Kelly,True,True
7097,2021_Kelly,True,True
7098,2021_Kelly,True,True
7099,2021_Kelly,True,True
7100,2021_Kelly,True,True
7101,2021_Kelly,True,True
7102,2021_Kelly,True,True
7103,2021_Kelly,True,True
7104,2021_Kelly,True,True
7105,2021_Kelly,True,True
7106,2021_Kelly,True,True
7107,2021_Kelly,True,True
7108,2021_Kelly,True,True
7109,2021_Kelly,True,True
7110,2021_Kelly,True,True
7111,2021_Kelly,True,True
7112,2021_Kelly,True,True
7113,2021_Kelly,True,True
7114,2021_Kelly,True,True
7115,2021_Kelly,True,True
7116,2021_Kelly,True,True
7117,2021_Kelly,True,True
7118,2021_Kelly,True,True
7119,2021_Kelly,True,True
7120,2021_Kelly,True,True
7121,2021_Kelly,True,True
7122,2021_Kelly,True,True
7123,2021_Kelly,True,True
7124,2021_Kelly,True,True
7125,2021_Kelly,True,True
7126,2021_Kelly,True,True
7127,2021_Kelly,True,True
7128,2021_Kelly,True,True
7129,2021_Kelly,True,True
7130,2021_Kelly,True,True
7131,2021_Kelly,True,True
7132,2021_Kelly,True,True
7133,2021_Kelly,True,True
7134,2021_Kelly,True,True
7135,2021_Kelly,True,True
7136,2021_Kelly,True,True
7137,2021_Kelly,True,True
7138,2021_Kelly,True,True
7139,2021_Kelly,True,True
7140,2021_Kelly,True,True
7141,2021_Kelly,True,True
7142,2021_Kelly,True,True
7143,2021_Kelly,True,True
7144,2021_Kelly,True,True
7145,2021_Kelly,True,True
7146,2021_Kelly,True,True
7147,2021_Kelly,True,True
7148,2021_Kelly,True,True
7149,2021_Kelly,True,True
7150,2021_Kelly,True,True
7151,2021_Kelly,True,True
7152,2021_Kelly,True,True
7153,2021_Kelly,True,True
7154,2021_Kelly,True,True
7155,2021_Kelly,True,True
7156,2021_Kelly,True,True
7157,2021_Kelly,True,True
7158,2021_Kelly,True,True
7159,2021_Kelly,True,True
7160,2021_Kelly,True,True
7161,2021_Kelly,True,True
7162,2021_Kelly,True,True
7163,2021_Kelly,True,True
7164,2021_Kelly,True,True
7165,2021_Kelly,True,True
7166,2021_Kelly,True,True
7167,2021_Kelly,True,True
7168,2021_Kelly,True,True
7169,2021_Kelly,True,True
7170,2021_Kelly,True,True
7171,2021_Kelly,True,True
7172,2021_Kelly,True,True
7173,2021_Kelly,True,True
7174,2021_Kelly,True,True
7175,2021_Kelly,True,True
7176,2021_Kelly,True,True
7177,2021_Kelly,True,True
7178,2021_Kelly,True,True
7179,2021_Kelly,True,True
7180,2021_Kelly,True,True
7181,2021_Kelly,True,True
7182,2021_Kelly,True,True
7183,2021_Kelly,True,True
7184,2021_Kelly,True,True
7185,2021_Kelly,True,True
7186,2021_Kelly,True,True
7187,2021_Kelly,True,True
